cloudpandaph.primarkph_apk, android.location.LocationManager getLastKnownLocation, $r6 = virtualinvoke $r5.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>("gps"), com.mobfox, ImmediateBox($r6) in if $r6 == null goto $r2 = r0.<com.mobfox.sdk.services.MobFoxLocationService$1: com.mobfox.sdk.services.MobFoxLocationService this$0>,FALSE
cloudpandaph.primarkph_apk, email, $r3 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r3) in $r22 = interfaceinvoke $r21.<com.goodbarber.v2.core.data.content.IDataManager: android.graphics.Typeface getTypeface(java.lang.String)>($r3), 
cloudpandaph.primarkph_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r4.<android.location.Location: double getLatitude()>(), org.json, ImmediateBox($d0) in virtualinvoke r2.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("r_floor"__ $d0), 
cloudpandaph.primarkph_apk, contact, $r4 = staticinvoke <com.goodbarber.v2.core.data.languages.Languages: java.lang.String getContactRules()>(), com.goodbarber, ImmediateBox(r2) in $z0 = staticinvoke <com.goodbarber.v2.core.common.utils.Utils: boolean isStringValid(java.lang.String)>(r2), 
cloudpandaph.primarkph_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r4.<android.location.Location: double getLongitude()>(), org.json, ImmediateBox($d0) in virtualinvoke r2.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("latitude"__ $d0), 
cloudpandaph.primarkph_apk, email, $r2 = virtualinvoke $r1.<com.goodbarber.v2.core.users.data.GBAppApiUser: java.lang.String getEmail()>(), com.goodbarber, ImmediateBox($r2) in specialinvoke r0.<com.goodbarber.v2.core.users.data.GBAppApiUser: void setLocalization(java.lang.String)>($r2), 
com.abizar.melivideos_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.8n: android.hardware.SensorEventListener A02>, 
com.abizar.melivideos_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), com.startapp, LinkedRValueBox($d0) in $r0.<com.startapp.networkTest.data.LocationInfo: double LocationLatitude> = $d0, 
com.abizar.melivideos_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), com.startapp, LinkedRValueBox($d0) in $r0.<com.startapp.networkTest.data.LocationInfo: double LocationBearing> = $d0, 
com.abizar.melivideos_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r4 = <com.facebook.ads.redexgen.X.8n: android.hardware.Sensor A01>, 
com.airkast.MARK_LEVIN_apk, android.location.Location getLongitude, $d1 = virtualinvoke $r1.<android.location.Location: double getLongitude()>(), androidx.appcompat, ImmediateBox($d1) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.airkast.MARK_LEVIN_apk, advertisingidClient getadvertisingidInfo, $r4 = staticinvoke <com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r3), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
